453749.97	4176114.88	2508.29	-75.11	20.87	0.3	-1.85	-4.3794	0.0789	8.9635	8.9294
453746.58	4176114.83	2508.22	-78.43	21.57	0.06	-2.18	-7.5359	0.6488	8.9635	8.9294
453743.19	4176114.78	2508.15	-81.86	21.93	-0.16	-2.54	-10.7983	0.9008	8.9635	8.9294
453739.8	4176114.72	2508.08	-84.98	21.75	-0.32	-2.92	-13.5978	0.5391	8.9635	8.9294
453736.4	4176114.67	2508.02	-87.22	20.91	-0.41	-3.31	-15.6322	-0.4302	8.9635	8.9294
453733	4176114.61	2507.96	-88.06	19.37	-0.4	-3.7	-16.3155	-2.116	8.9635	8.9294
453729.6	4176114.55	2507.89	-87.26	17.31	-0.3	-4.05	-15.3508	-4.2921	8.9635	8.9294
453726.21	4176114.5	2507.83	-84.89	15.09	-0.1	-4.35	-12.8504	-6.6119	8.9635	8.9294
453722.81	4176114.44	2507.76	-81.2	13.12	0.16	-4.56	-8.9649	-8.6841	8.9635	8.9294
453719.41	4176114.38	2507.7	-76.66	11.76	0.46	-4.68	-4.2975	-10.1445	8.9635	8.9294
453716.01	4176114.34	2507.63	-71.93	11.28	0.77	-4.69	0.5139	-11.1622	8.9635	8.9294
453712.6	4176114.31	2507.52	-67.66	11.86	1.06	-4.59	4.9422	-10.7158	8.9635	8.9294
453709.18	4176114.29	2507.42	-64.37	13.56	1.28	-4.39	8.2571	-9.1512	8.9635	8.9294
453705.77	4176114.27	2507.31	-62.46	16.24	1.43	-4.12	10.4228	-6.5912	8.9635	8.9294
453702.35	4176114.25	2507.21	-62.2	19.66	1.48	-3.81	10.8003	-3.3053	8.9635	8.9294
453698.94	4176114.23	2507.1	-63.67	23.48	1.46	-3.48	9.5406	0.3736	8.9635	8.9294
453695.53	4176114.21	2507	-66.64	27.24	1.35	-3.16	6.607	3.9813	8.9635	8.9294
453692.11	4176114.19	2506.89	-70.64	30.43	1.2	-2.87	2.7001	7.0594	8.9635	8.9294
453688.69	4176114.18	2506.78	-75.09	32.62	1.01	-2.63	-1.5205	9.1122	8.9635	8.9294
453685.25	4176114.2	2506.61	-79.3	33.6	0.83	-2.45	-5.6419	9.9364	8.9635	8.9294
453681.81	4176114.23	2506.44	-82.55	33.31	0.66	-2.33	-8.816	9.4941	8.9635	8.9294
453678.37	4176114.26	2506.27	-84.27	31.79	0.52	-2.25	-10.3947	7.813	8.9635	8.9294
453674.93	4176114.29	2506.1	-84.17	29.29	0.43	-2.21	-10.266	5.197	8.9635	8.9294
453671.49	4176114.31	2505.93	-82.34	26.25	0.36	-2.18	-8.2987	2.0298	8.9635	8.9294
453668.05	4176114.34	2505.76	-79.14	23.19	0.33	-2.15	-5.052	-1.1963	8.9635	8.9294
453664.61	4176114.37	2505.59	-75.13	20.5	0.31	-2.11	-0.9139	-4.0322	8.9635	8.9294
453661.17	4176114.4	2505.41	-70.98	18.45	0.28	-2.05	3.25	-6.2493	8.9635	8.9294
453657.7	4176114.45	2505.15	-67.38	17.31	0.24	-1.96	6.8439	-7.5276	8.9635	8.9294
453654.23	4176114.49	2504.88	-64.89	17.21	0.17	-1.85	9.3414	-7.7687	8.9635	8.9294
453650.76	4176114.54	2504.62	-63.94	18.06	0.06	-1.72	10.3197	-6.9905	8.9635	8.9294
453647.29	4176114.59	2504.36	-64.75	19.56	-0.07	-1.59	9.5203	-5.6511	8.9635	8.9294
453643.82	4176114.64	2504.1	-67.13	21.29	-0.21	-1.48	7.2163	-4.0728	8.9635	8.9294
453640.36	4176114.68	2503.84	-70.54	22.87	-0.34	-1.38	3.8274	-2.6022	8.9635	8.9294
453636.89	4176114.73	2503.58	-74.31	24.01	-0.44	-1.31	0.0611	-1.6546	8.9635	8.9294
453633.41	4176114.78	2503.31	-77.86	24.62	-0.48	-1.28	-3.5107	-1.2158	8.9635	8.9294
453629.93	4176114.84	2503	-80.76	24.79	-0.44	-1.26	-6.4327	-1.1352	8.9635	8.9294
453626.44	4176114.9	2502.69	-82.6	24.72	-0.31	-1.26	-8.2725	-1.3713	8.9635	8.9294
453622.96	4176114.95	2502.38	-83.12	24.61	-0.09	-1.26	-8.8419	-1.6326	8.9635	8.9294
453619.47	4176115.01	2502.07	-82.32	24.68	0.2	-1.24	-8.0932	-1.8062	8.9635	8.9294
453615.98	4176115.07	2501.76	-80.4	25.04	0.56	-1.18	-6.2558	-0.9597	8.9635	8.9294
453612.5	4176115.13	2501.46	-77.5	25.65	0.96	-1.09	-3.4293	-0.4844	8.9635	8.9294
453609.01	4176115.18	2501.15	-73.79	26.34	1.36	-0.94	0.1717	0.0197	8.9635	8.9294
453605.52	4176115.25	2500.84	-69.51	27.01	1.72	-0.75	4.3083	0.5027	8.9635	8.9294
453602.03	4176115.32	2500.53	-65.14	27.75	1.99	-0.5	8.5518	1.0278	8.9635	8.9294
453598.54	4176115.4	2500.23	-61.32	28.62	2.15	-0.22	12.3203	1.7886	8.9635	8.9294
453595.05	4176115.47	2499.92	-58.71	29.52	2.15	0.07	14.8059	2.5592	8.9635	8.9294
453591.56	4176115.55	2499.62	-57.86	30.22	1.99	0.35	15.4267	3.1127	8.9635	8.9294
453588.07	4176115.63	2499.31	-59	30.64	1.66	0.61	14.144	3.36	8.9635	8.9294
453584.58	4176115.7	2499.01	-62.08	30.83	1.17	0.83	10.877	3.3664	8.9635	8.9294
453581.09	4176115.78	2498.7	-66.81	30.93	0.54	1	5.9386	3.3097	8.9635	8.9294
453577.6	4176115.86	2498.41	-72.7	31.05	-0.18	1.13	-0.1668	3.2516	8.9635	8.9294
453574.13	4176115.96	2498.14	-79.06	31.27	-0.96	1.21	-6.7329	3.1792	8.9635	8.9294
453570.65	4176116.05	2497.88	-84.94	31.49	-1.75	1.26	-12.6717	3.2369	8.9635	8.9294
453567.17	4176116.15	2497.62	-89.41	31.54	-2.51	1.27	-17.3933	3.1023	8.9635	8.9294
453563.69	4176116.24	2497.36	-91.75	31.26	-3.18	1.27	-19.9492	2.7091	8.9635	8.9294
453560.21	4176116.34	2497.09	-91.57	30.74	-3.74	1.27	-20.0567	1.9338	8.9635	8.9294
453556.73	4176116.44	2496.83	-88.82	30.1	-4.16	1.27	-17.5359	1.1954	8.9635	8.9294
453553.25	4176116.53	2496.57	-83.89	29.43	-4.43	1.28	-12.8022	0.3967	8.9635	8.9294
453549.78	4176116.63	2496.32	-77.56	28.85	-4.57	1.31	-6.703	-0.2994	8.9635	8.9294
453546.31	4176116.75	2496.11	-70.92	28.54	-4.6	1.35	-0.3305	-0.6766	8.9635	8.9294
453542.84	4176116.87	2495.9	-65.04	28.7	-4.53	1.4	5.3407	-0.5797	8.9635	8.9294
453539.37	4176116.99	2495.69	-60.81	29.39	-4.4	1.44	9.2213	-0.0399	8.9635	8.9294
453535.9	4176117.1	2495.48	-58.81	30.53	-4.24	1.45	10.9494	0.9903	8.9635	8.9294
453532.43	4176117.22	2495.27	-59.12	31.89	-4.04	1.41	10.3573	2.1467	8.9635	8.9294
453528.96	4176117.34	2495.07	-61.38	33.19	-3.82	1.31	7.8061	3.285	8.9635	8.9294
453525.49	4176117.46	2494.86	-64.91	34.03	-3.57	1.12	4.0045	4.0543	8.9635	8.9294
453522.02	4176117.58	2494.65	-68.95	34.09	-3.28	0.86	-0.2799	4.0004	8.9635	8.9294
453518.54	4176117.71	2494.46	-72.65	33.18	-2.93	0.53	-4.2749	2.9889	8.9635	8.9294
453515.07	4176117.85	2494.28	-75.22	31.33	-2.5	0.15	-7.1499	1.0459	8.9635	8.9294
453511.6	4176117.98	2494.09	-76.11	28.73	-1.98	-0.26	-8.3155	-1.6366	8.9635	8.9294
453508.13	4176118.12	2493.9	-75.27	25.74	-1.36	-0.64	-7.799	-4.7595	8.9635	8.9294
453504.66	4176118.25	2493.71	-73.03	22.83	-0.67	-0.98	-5.8726	-7.8199	8.9635	8.9294
453501.19	4176118.39	2493.53	-69.91	20.33	0.09	-1.24	-3.0542	-10.3735	8.9635	8.9294
453497.72	4176118.52	2493.34	-66.42	18.4	0.87	-1.39	0.0945	-12.39	8.9635	8.9294
453494.25	4176118.66	2493.15	-62.93	17.14	1.66	-1.43	3.2947	-13.7428	8.9635	8.9294
453490.77	4176118.81	2492.94	-59.66	16.67	2.41	-1.35	6.2603	-14.3061	8.9635	8.9294
453487.3	4176118.96	2492.73	-56.72	17.12	3.07	-1.16	8.8766	-14.0171	8.9635	8.9294
453483.83	4176119.11	2492.53	-54.26	18.54	3.63	-0.89	11.0124	-12.7193	8.9635	8.9294
